net,length_um
_04928_,229.19
_04059_,228.76
_00138_,228.7
_01518_,228.06
_02758_,227.09
_02722_,227.055
_02765_,226.695
_00819_,225.92
_00734_,225.7
_01178_,224.67
_03682_,223.14
_01250_,221.135
_05027_,221.07
_04081_,220.53
net55,219.69
_00639_,219.57
_01272_,219.21
_04048_,218.48
_02855_,217.14
_03576_,217.06
net31,217.04
_03587_,216.82
_01260_,216.435
_07010_,216.125
_06744_,215.945
_05595_,215.84
_04268_,215.7
_02728_,213.4
_05192_,213.34
_01233_,211.9
_00978_,210.6
_02719_,210.115
_00352_,209.24
_00818_,208.86
_03894_,208.42
_02743_,208.03
_02730_,207.74
_01933_,206.64
_04627_,206.64
_00423_,205.795
_02742_,205.15
_05577_,204.78
_06874_,204.57
_01411_,204.535
_00475_,204.43
_05776_,204.16
_01372_,204.015
_03679_,203.815
_03683_,203.19
_01934_,202.635
_06820_,202.22
_04851_,201.14
net120,201
_02305_,199.96
_00755_,199.93
_02856_,198.995
_04714_,198.62
_02737_,198.58
_00298_,198.525
_03678_,197.23
_01472_,196.075
_03687_,195.89
_02169_,195.62
_00420_,194.86
_01179_,194.29
_00741_,194.01
_01254_,193.94
_00101_,193.88
net93,193.88
_06800_,193.71
_06818_,193.32
_02158_,192.98
_00730_,192.37
_00573_,191.77
_02727_,191.72
_02725_,191.065
_00604_,189.54
_05501_,189.4
_02306_,189.325
_03685_,189.08
_02858_,189.07
_01564_,188.205
_00959_,188.16
_02135_,187.95
net104,186.5
_00869_,186.46
_06875_,185.925
_03718_,185.66
_03938_,185.255
_01208_,185
_04169_,184.215
net17,184.2
net80,182.34
_02759_,182.22
_05807_,181.18
_03773_,180.96
_00782_,180.875
_00258_,180.66
_03748_,180.28
_01248_,180.04
_00612_,179.78
_01211_,178.68
_03750_,177.07
_01177_,175.33
_00778_,175.08
_04015_,173.72
_03785_,173.7
_05810_,173.52
_05792_,173.23
_02849_,173.01
_02168_,173
_05487_,172.38
_01339_,172.34
_01059_,172.295
_00378_,171.48
_04026_,170.66
_00002_,170.36
_05786_,168.48
_00374_,167.78
_00571_,167.685
_02247_,167.195
_03681_,167.135
_00413_,166.21
net79,165.7
_01044_,164.24
_01473_,163.74
_03696_,163.575
net53,163.56
_00327_,163.35
_01368_,163.105
_00431_,162.99
_04510_,162.94
_01960_,162.52
_01507_,162.36
_02723_,161.05
_02304_,159.49
_02724_,159.32
_06804_,158.46
_05789_,158.26
_01039_,157.79
_01412_,157.75
_01410_,156.94
_01953_,156.63
_01486_,155.88
_05773_,155
_01311_,153.14
_05784_,152
_02496_,150.98
_02582_,149.74
_03684_,149.74
_02377_,149.46
_00486_,149.08
net177,148.36
_00914_,148.055
_00703_,147.94
net125,145.68
_00783_,145.58
_03690_,144.98
_00174_,144.92
_02150_,143.48
_05779_,142.18
_00871_,141.79
net16,141.62
net149,140.86
_00076_,139.29
_05546_,138.88
_00075_,137.52
_05455_,135.62
